Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
150.1999969,155.6499939,146.8000031,152.0500031,150.1739197,10925422,0.963,9/17/2018,37,2018,17,Monday,-2.0465,2.989583304
151.9499969,154.8500061,146.3000031,148.4499969,146.6183167,7447741,-2.368,9/18/2018,37,2018,18,Tuesday,-2.0465,2.989583304
149.3999939,150.6999969,145.3000031,147.3500061,145.5319061,5315295,-0.741,9/19/2018,37,2018,19,Wednesday,-2.0465,2.989583304
148,153.5,132.6499939,138.4499969,136.7416992,12829824,-6.04,9/21/2018,37,2018,21,Friday,-2.0465,2.989583304
138.4499969,139.75,131.1499939,134.5,132.8404541,5960439,-2.853,9/24/2018,38,2018,24,Monday,-1.0612,4.932153151
133.5,142.3999939,125.6500015,138.3500061,136.6429443,8571550,2.862,9/25/2018,38,2018,25,Tuesday,-1.0612,4.932153151
140.3999939,142.5,133.6999969,136.5,134.8157654,6768299,-1.337,9/26/2018,38,2018,26,Wednesday,-1.0612,4.932153151
136,143.0500031,132.6999969,142.25,140.494812,9769528,4.212,9/27/2018,38,2018,27,Thursday,-1.0612,4.932153151
142.6499939,143.3999939,125.5999985,130.6000061,128.9885864,11876058,-8.19,9/28/2018,38,2018,28,Friday,-1.0612,4.932153151
127,138.6000061,121.5500031,137.3500061,135.655304,9826192,5.168,10/1/2018,39,2018,1,Monday,-0.03225,3.47905738
137,141.5,130.0500031,134.8000031,133.136734,6829117,-1.857,10/3/2018,39,2018,3,Wednesday,-0.03225,3.47905738
129.3999939,134.3000031,127,132.9499969,131.3095703,7184987,-1.372,10/4/2018,39,2018,4,Thursday,-0.03225,3.47905738
131.5500031,135.75,128.25,130.1999969,128.5934906,6099515,-2.068,10/5/2018,39,2018,5,Friday,-0.03225,3.47905738
129,134.8500061,121.3499985,133.1499939,131.5070953,10658358,2.266,10/8/2018,40,2018,8,Monday,2.0668,3.640807287
136,137.6999969,129.3500061,135.8999939,134.223175,7186017,2.065,10/9/2018,40,2018,9,Tuesday,2.0668,3.640807287
136.5,147.8500061,135,143.75,141.9763336,9209149,5.776,10/10/2018,40,2018,10,Wednesday,2.0668,3.640807287
138,143.3999939,135.1499939,138.1999969,136.4947815,8421556,-3.861,10/11/2018,40,2018,11,Thursday,2.0668,3.640807287
140.1000061,145.3999939,140.1000061,143.8500061,142.0750732,6338784,4.088,10/12/2018,40,2018,12,Friday,2.0668,3.640807287
147,153.75,143.8000031,152.4499969,150.5689697,9011923,5.978,10/15/2018,41,2018,15,Monday,4.0795,1.449012192
152.3500061,160,151.75,157.6499939,155.7048035,9671300,3.411,10/16/2018,41,2018,16,Tuesday,4.0795,1.449012192
160.1000061,163.6499939,154.25,161.75,159.7542114,11660585,2.601,10/17/2018,41,2018,17,Wednesday,4.0795,1.449012192
158.5,170.6999969,158.5,168.75,166.6678619,11861481,4.328,10/19/2018,41,2018,19,Friday,4.0795,1.449012192
171.1000061,176.6999969,164.3999939,168.5,166.4209442,13950566,-0.148,10/22/2018,42,2018,22,Monday,-0.2196,2.156608982
169,171.8500061,166,169.5500031,167.4579926,8339433,0.623,10/23/2018,42,2018,23,Tuesday,-0.2196,2.156608982
171,172.25,165.1000061,167.5500031,165.482666,5451065,-1.18,10/24/2018,42,2018,24,Wednesday,-0.2196,2.156608982
